id,label,weight,x,y,score
T01-G,T01-G,4.0,31,42,4.0
T01-D,T01-D,8.37,71,92,8.37
T01-H,T01-H,7.29,26,70,7.29
T01-J,T01-J,9.38,74,96,9.38
T01-N,T01-N,9.7,4,16,9.7
T01-M,T01-M,6.66,83,6,6.66
W01-A,W01-A,8.59,44,48,8.59
W06-B,W06-B,4.0,77,55,4.0
T01-E,T01-E,7.85,36,77,7.85
S05-G,S05-G,4.0,12,30,4.0
T01-F,T01-F,7.52,97,66,7.52
W04-E,W04-E,6.45,34,13,6.45
T01-C,T01-C,6.38,6,18,6.38
W04-N,W04-N,6.45,72,100,6.45
W01-C,W01-C,7.71,96,88,7.71
T01-S,T01-S,8.35,8,88,8.35
T06-A,T06-A,6.41,18,38,6.41
D05-H,D05-H,4.0,58,28,4.0
W02-F,W02-F,4.0,16,50,4.0
B11-C,B11-C,4.0,17,53,4.0
T04-K,T04-K,4.0,39,16,4.0
T05-L,T05-L,6.38,68,60,6.38
V07-F,V07-F,4.0,7,67,4.0
W02-C,W02-C,4.0,11,47,4.0
T03-K,T03-K,4.0,84,30,4.0
U14-A,U14-A,4.0,11,70,4.0
W04-H,W04-H,4.0,88,40,4.0
A12-E,A12-E,4.0,82,12,4.0
X25-A,X25-A,4.0,80,13,4.0
W04-X,W04-X,4.0,65,87,4.0
S03-E,S03-E,4.0,93,46,4.0
T04-E,T04-E,4.0,53,57,4.0
W04-W,W04-W,4.0,98,83,4.0
T05-D,T05-D,4.0,84,97,4.0
S05-B,S05-B,4.0,46,13,4.0
X27-A,X27-A,4.0,12,46,4.0
A11-B,A11-B,4.0,98,95,4.0
W01-E,W01-E,4.0,94,100,4.0
S05-D,S05-D,4.0,92,76,4.0
T05-G,T05-G,4.0,45,28,4.0
T01-L,T01-L,4.0,48,31,4.0
D03-K,D03-K,4.0,62,48,4.0
T05-F,T05-F,4.0,9,94,4.0
W05-B,W05-B,4.0,55,11,4.0
T04-D,T04-D,4.0,96,28,4.0
B12-K,B12-K,4.0,51,86,4.0
W05-C,W05-C,4.0,86,30,4.0
A09-D,A09-D,4.0,37,62,4.0
T06-D,T06-D,4.0,12,39,4.0
W03-A,W03-A,4.0,95,47,4.0
X12-H,X12-H,4.0,71,26,4.0
T05-H,T05-H,4.0,15,19,4.0
S02-C,S02-C,4.0,90,36,4.0
W02-G,W02-G,4.0,10,84,4.0
P76-C,P76-C,4.0,89,23,4.0
Q34-C,Q34-C,4.0,88,78,4.0
A12-V,A12-V,4.0,7,62,4.0
W06-C,W06-C,4.0,96,5,4.0
Q31-A,Q31-A,4.0,67,42,4.0
Q34-X,Q34-X,4.0,35,39,4.0
X25-F,X25-F,4.0,22,40,4.0
X15-B,X15-B,4.0,15,78,4.0
X27-E,X27-E,4.0,9,47,4.0
T05-C,T05-C,4.0,12,10,4.0
X21-A,X21-A,4.0,51,51,4.0
A11-C,A11-C,4.0,15,90,4.0
W05-D,W05-D,4.0,82,85,4.0
X25-P,X25-P,4.0,6,63,4.0
