id,label,weight,x,y,score
T01-G,T01-G,7.01,18,36,7.01
T01-D,T01-D,8.33,28,1,8.33
T01-H,T01-H,7.88,16,48,7.88
T01-J,T01-J,9.37,19,92,9.37
T01-N,T01-N,9.7,48,23,9.7
T01-M,T01-M,6.74,80,89,6.74
W01-A,W01-A,8.56,100,86,8.56
T01-E,T01-E,8.05,18,16,8.05
S05-G,S05-G,6.47,12,52,6.47
T01-F,T01-F,8.0,67,50,8.0
W04-E,W04-E,7.02,69,61,7.02
T01-C,T01-C,6.76,71,21,6.76
W04-N,W04-N,7.02,70,17,7.02
W01-C,W01-C,7.75,26,90,7.75
T01-S,T01-S,8.49,74,73,8.49
D05-H,D05-H,6.48,8,86,6.48
B11-C,B11-C,6.88,10,28,6.88
T04-K,T04-K,4.0,64,61,4.0
T05-L,T05-L,6.76,10,48,6.76
V07-F,V07-F,4.0,19,94,4.0
W02-C,W02-C,4.0,45,94,4.0
T03-K,T03-K,4.0,40,26,4.0
X25-A,X25-A,4.0,13,51,4.0
W04-X,W04-X,6.44,8,26,6.44
